id,dt,niter,Re,gama,Minf,Pr,Core Count,order,grid,time,Enstrophy,Kinetic Energy,Kinetic Energy Dissipation Rate
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,0.125,0.7338650812199936,0.12366955467361482,0.000917331351524992
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,0.25,0.7361262191300234,0.12351008782705408,0.0009201577739125292
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,0.375,0.740522566037684,0.123349277488814,0.000925653207547105
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,0.5,0.7470546329679701,0.12318318433536912,0.0009338182912099627
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,0.625,0.7557070906285046,0.12300332237647274,0.0009446338632856308
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,0.75,0.766401178804657,0.12279063422155316,0.0009580014735058212
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,0.875,0.7792440211061742,0.12255620766496061,0.0009740550263827178
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,1.0,0.7943334868980567,0.12231434128178505,0.000992916858622571
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,1.125,0.8116456476462736,0.12205592444726927,0.0010145570595578419
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,1.25,0.8311265460040231,0.12177619040734099,0.001038908182505029
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,1.375,0.8526150891079567,0.12145164617989893,0.001065768861384946
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,1.5,0.8760843073523954,0.12108869550958976,0.0010951053841904942
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,1.625,0.9015273923921356,0.12070383710776786,0.0011269092404901696
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,1.75,0.9288068488442544,0.1202878419772804,0.001161008561055318
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,1.875,0.957732356933731,0.11983581905457276,0.0011971654461671638
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,2.0,0.9880772701150062,0.11932948457404233,0.0012350965876437579
3,0.005,400,800.0,1.4,0.1,0.71,1,4,17,0.125,0.7435967540271746,0.12366253936435,0.0009294959425339683
3,0.005,400,800.0,1.4,0.1,0.71,1,4,17,0.25,0.7460900101179818,0.12348292126520019,0.0009326125126474773
