id,dt,niter,Re,gama,Minf,Pr,Core Count,order,grid,time
0,0.005,400,800.0,1.4,0.1,0.71,1,2,17,0.110051870346
1,0.005,400,800.0,1.4,0.1,0.71,1,4,17,0.0441858768463
2,0.005,400,800.0,1.4,0.1,0.71,1,2,17,5.74283218384
3,0.005,400,800.0,1.4,0.1,0.71,1,4,17,7.02758789062
4,0.005,400,800.0,1.4,0.1,0.71,1,6,17,8.34737801552
5,0.005,400,800.0,1.4,0.1,0.71,1,8,17,10.1319360733
6,0.005,400,800.0,1.4,0.1,0.71,2,2,17,4.3746380806
7,0.005,400,800.0,1.4,0.1,0.71,2,4,17,5.11843585968
8,0.005,400,800.0,1.4,0.1,0.71,2,6,17,5.79490804672
9,0.005,400,800.0,1.4,0.1,0.71,2,8,17,6.76498603821
10,0.005,400,800.0,1.4,0.1,0.71,3,2,17,4.31372189522
11,0.005,400,800.0,1.4,0.1,0.71,3,4,17,4.45234704018
12,0.005,400,800.0,1.4,0.1,0.71,3,6,17,5.04136800766
13,0.005,400,800.0,1.4,0.1,0.71,3,8,17,5.36649394035
14,0.005,400,800.0,1.4,0.1,0.71,4,2,17,3.2466070652
15,0.005,400,800.0,1.4,0.1,0.71,4,4,17,3.75208687782
16,0.005,400,800.0,1.4,0.1,0.71,4,6,17,4.30641508102
17,0.005,400,800.0,1.4,0.1,0.71,4,8,17,4.96271014214
18,0.005,400,800.0,1.4,0.1,0.71,5,2,17,4.66489291191
19,0.005,400,800.0,1.4,0.1,0.71,5,4,17,5.15547394753
20,0.005,400,800.0,1.4,0.1,0.71,5,6,17,5.62499690056
21,0.005,400,800.0,1.4,0.1,0.71,5,8,17,0.293292045593
22,0.005,400,800.0,1.4,0.1,0.71,6,2,17,4.56978106499
23,0.005,400,800.0,1.4,0.1,0.71,6,4,17,5.02623701096
24,0.005,400,800.0,1.4,0.1,0.71,6,6,17,5.39865612984
25,0.005,400,800.0,1.4,0.1,0.71,6,8,17,6.16504120827
26,0.005,400,800.0,1.4,0.1,0.71,7,2,17,7.14667320251
27,0.005,400,800.0,1.4,0.1,0.71,7,4,17,7.7791531086
28,0.005,400,800.0,1.4,0.1,0.71,7,6,17,0.305090904236
29,0.005,400,800.0,1.4,0.1,0.71,7,8,17,0.307960987091
30,0.005,400,800.0,1.4,0.1,0.71,8,2,17,8.31211996078
31,0.005,400,800.0,1.4,0.1,0.71,8,4,17,9.06689691544
32,0.005,400,800.0,1.4,0.1,0.71,8,6,17,9.05851387978
33,0.005,400,800.0,1.4,0.1,0.71,8,8,17,9.79176807404
