id,dt,niter,Re,gama,Minf,Pr,Core Count,order,grid,time
0,0.005,4000,800.0,1.4,0.1,0.71,1,2,17,49.9849939346
1,0.005,4000,800.0,1.4,0.1,0.71,1,4,17,63.3703930378
2,0.005,4000,800.0,1.4,0.1,0.71,1,6,17,76.3362288475
3,0.005,4000,800.0,1.4,0.1,0.71,1,8,17,92.800246954
4,0.005,4000,800.0,1.4,0.1,0.71,2,2,17,29.2828161716
5,0.005,4000,800.0,1.4,0.1,0.71,2,4,17,37.9602110386
6,0.005,4000,800.0,1.4,0.1,0.71,2,6,17,45.00613904
7,0.005,4000,800.0,1.4,0.1,0.71,2,8,17,53.9644351006
8,0.005,4000,800.0,1.4,0.1,0.71,3,2,17,28.2391309738
9,0.005,4000,800.0,1.4,0.1,0.71,3,4,17,35.4606149197
10,0.005,4000,800.0,1.4,0.1,0.71,3,6,17,39.7222499847
11,0.005,4000,800.0,1.4,0.1,0.71,3,8,17,47.0996639729
12,0.005,4000,800.0,1.4,0.1,0.71,4,2,17,22.2076919079
13,0.005,4000,800.0,1.4,0.1,0.71,4,4,17,28.5166668892
14,0.005,4000,800.0,1.4,0.1,0.71,4,6,17,32.0078549385
15,0.005,4000,800.0,1.4,0.1,0.71,4,8,17,38.0548360348
16,0.005,4000,800.0,1.4,0.1,0.71,5,2,17,29.5632932186
17,0.005,4000,800.0,1.4,0.1,0.71,5,4,17,36.1431040764
18,0.005,4000,800.0,1.4,0.1,0.71,5,6,17,42.5094211102
19,0.005,4000,800.0,1.4,0.1,0.71,5,8,17,0.200836181641
20,0.005,4000,800.0,1.4,0.1,0.71,6,2,17,25.2286260128
21,0.005,4000,800.0,1.4,0.1,0.71,6,4,17,31.738861084
22,0.005,4000,800.0,1.4,0.1,0.71,6,6,17,33.3078439236
23,0.005,4000,800.0,1.4,0.1,0.71,6,8,17,37.8281400204
24,0.005,4000,800.0,1.4,0.1,0.71,7,2,17,35.5061881542
25,0.005,4000,800.0,1.4,0.1,0.71,7,4,17,41.765417099
26,0.005,4000,800.0,1.4,0.1,0.71,7,6,17,1.2029030323
27,0.005,4000,800.0,1.4,0.1,0.71,7,8,17,0.216279029846
28,0.005,4000,800.0,1.4,0.1,0.71,8,2,17,21.3440220356
29,0.005,4000,800.0,1.4,0.1,0.71,8,4,17,29.9033548832
30,0.005,4000,800.0,1.4,0.1,0.71,8,6,17,34.2500441074
31,0.005,4000,800.0,1.4,0.1,0.71,8,8,17,38.4558541775
32,0.005,4000,800.0,1.4,0.1,0.71,1,2,17,50.1366400719
33,0.005,4000,800.0,1.4,0.1,0.71,1,4,17,63.3466498852
34,0.005,4000,800.0,1.4,0.1,0.71,1,6,17,76.7680521011
35,0.005,4000,800.0,1.4,0.1,0.71,1,8,17,92.1046669483
36,0.005,4000,800.0,1.4,0.1,0.71,2,2,17,29.877051115
37,0.005,4000,800.0,1.4,0.1,0.71,2,4,17,37.3107571602
38,0.005,4000,800.0,1.4,0.1,0.71,2,6,17,44.7253601551
39,0.005,4000,800.0,1.4,0.1,0.71,2,8,17,52.9257049561
40,0.005,4000,800.0,1.4,0.1,0.71,3,2,17,28.8235740662
41,0.005,4000,800.0,1.4,0.1,0.71,3,4,17,35.3433411121
42,0.005,4000,800.0,1.4,0.1,0.71,3,6,17,42.2726800442
43,0.005,4000,800.0,1.4,0.1,0.71,3,8,17,48.1142711639
44,0.005,4000,800.0,1.4,0.1,0.71,4,2,17,23.2391300201
45,0.005,4000,800.0,1.4,0.1,0.71,4,4,17,27.7389888763
46,0.005,4000,800.0,1.4,0.1,0.71,4,6,17,35.368637085
47,0.005,4000,800.0,1.4,0.1,0.71,4,8,17,40.687928915
48,0.005,4000,800.0,1.4,0.1,0.71,5,2,17,33.6521120071
49,0.005,4000,800.0,1.4,0.1,0.71,5,4,17,35.4920899868
50,0.005,4000,800.0,1.4,0.1,0.71,5,6,17,40.3525187969
52,0.005,4000,800.0,1.4,0.1,0.71,6,2,17,23.3161349297
53,0.005,4000,800.0,1.4,0.1,0.71,6,4,17,29.20677495
54,0.005,4000,800.0,1.4,0.1,0.71,6,6,17,34.921189785
55,0.005,4000,800.0,1.4,0.1,0.71,6,8,17,39.0956590176
56,0.005,4000,800.0,1.4,0.1,0.71,7,2,17,40.1798579693
57,0.005,4000,800.0,1.4,0.1,0.71,7,4,17,43.4073729515
58,0.005,4000,800.0,1.4,0.1,0.71,7,6,17,1.20814800262
59,0.005,4000,800.0,1.4,0.1,0.71,7,8,17,1.21773910522
60,0.005,4000,800.0,1.4,0.1,0.71,8,2,17,23.9260959625
61,0.005,4000,800.0,1.4,0.1,0.71,8,4,17,32.9219009876
62,0.005,4000,800.0,1.4,0.1,0.71,8,6,17,40.6612558365
63,0.005,4000,800.0,1.4,0.1,0.71,8,8,17,45.0725300312
64,0.005,4000,800.0,1.4,0.1,0.71,8,2,17,26.0736849308
65,0.005,4000,800.0,1.4,0.1,0.71,8,4,17,28.3494150639
66,0.005,4000,800.0,1.4,0.1,0.71,8,6,17,32.511619091
67,0.005,4000,800.0,1.4,0.1,0.71,8,8,17,38.2197008133
68,0.005,4000,800.0,1.4,0.1,0.71,7,2,17,37.0839378834
69,0.005,4000,800.0,1.4,0.1,0.71,7,4,17,44.997068882
72,0.005,4000,800.0,1.4,0.1,0.71,7,4,17,44.3585557938
