id,dt,niter,Re,gama,Minf,Pr,Core Count,order,grid,time
0,0.005,4000,800.0,1.4,0.1,0.71,1,2,17,50.5790541172
1,0.005,4000,800.0,1.4,0.1,0.71,1,4,17,64.1765370369
2,0.005,4000,800.0,1.4,0.1,0.71,1,6,17,76.9865190983
3,0.005,4000,800.0,1.4,0.1,0.71,1,8,17,93.3225910664
4,0.005,4000,800.0,1.4,0.1,0.71,2,2,17,30.3458790779
5,0.005,4000,800.0,1.4,0.1,0.71,2,4,17,38.32842803
6,0.005,4000,800.0,1.4,0.1,0.71,2,6,17,45.4263679981
7,0.005,4000,800.0,1.4,0.1,0.71,2,8,17,56.2102389336
8,0.005,4000,800.0,1.4,0.1,0.71,3,2,17,29.5379300117
9,0.005,4000,800.0,1.4,0.1,0.71,3,4,17,36.2524051666
10,0.005,4000,800.0,1.4,0.1,0.71,3,6,17,42.369781971
11,0.005,4000,800.0,1.4,0.1,0.71,3,8,17,48.5031359196
12,0.005,4000,800.0,1.4,0.1,0.71,4,2,17,23.1624748707
13,0.005,4000,800.0,1.4,0.1,0.71,4,4,17,29.8540711403
14,0.005,4000,800.0,1.4,0.1,0.71,4,6,17,33.0305290222
15,0.005,4000,800.0,1.4,0.1,0.71,4,8,17,40.9087657928
16,0.005,4000,800.0,1.4,0.1,0.71,5,2,17,32.6169800758
17,0.005,4000,800.0,1.4,0.1,0.71,5,4,17,38.0691890717
18,0.005,4000,800.0,1.4,0.1,0.71,5,6,17,42.2877519131
19,0.005,4000,800.0,1.4,0.1,0.71,5,8,17,0.202403068542
20,0.005,4000,800.0,1.4,0.1,0.71,6,2,17,25.5979919434
21,0.005,4000,800.0,1.4,0.1,0.71,6,4,17,33.6243989468
22,0.005,4000,800.0,1.4,0.1,0.71,6,6,17,37.3251769543
23,0.005,4000,800.0,1.4,0.1,0.71,6,8,17,40.9649159908
24,0.005,4000,800.0,1.4,0.1,0.71,7,2,17,37.7108728886
25,0.005,4000,800.0,1.4,0.1,0.71,7,4,17,41.8099598885
26,0.005,4000,800.0,1.4,0.1,0.71,7,6,17,0.211181879044
27,0.005,4000,800.0,1.4,0.1,0.71,7,8,17,0.197083950043
28,0.005,4000,800.0,1.4,0.1,0.71,8,2,17,23.30854702
29,0.005,4000,800.0,1.4,0.1,0.71,8,4,17,26.3399879932
30,0.005,4000,800.0,1.4,0.1,0.71,8,6,17,30.8080720901
31,0.005,4000,800.0,1.4,0.1,0.71,8,8,17,34.9016740322
32,0.005,4000,800.0,1.4,0.1,0.71,9,2,17,46.8408250809
33,0.005,4000,800.0,1.4,0.1,0.71,9,4,17,56.8396937847
34,0.005,4000,800.0,1.4,0.1,0.71,9,6,17,0.216771125793
35,0.005,4000,800.0,1.4,0.1,0.71,9,8,17,0.209524869919
36,0.005,4000,800.0,1.4,0.1,0.71,10,2,17,38.8191859722
37,0.005,4000,800.0,1.4,0.1,0.71,10,4,17,48.387693882
38,0.005,4000,800.0,1.4,0.1,0.71,10,6,17,52.0720908642
39,0.005,4000,800.0,1.4,0.1,0.71,10,8,17,0.21867108345
40,0.005,4000,800.0,1.4,0.1,0.71,11,2,17,81.2578928471
41,0.005,4000,800.0,1.4,0.1,0.71,11,4,17,0.229995012283
42,0.005,4000,800.0,1.4,0.1,0.71,11,6,17,0.277183055878
43,0.005,4000,800.0,1.4,0.1,0.71,11,8,17,0.232178211212
44,0.005,4000,800.0,1.4,0.1,0.71,12,2,17,34.2142250538
45,0.005,4000,800.0,1.4,0.1,0.71,12,4,17,43.2715289593
46,0.005,4000,800.0,1.4,0.1,0.71,12,6,17,47.9664211273
47,0.005,4000,800.0,1.4,0.1,0.71,12,8,17,55.2955889702
48,0.005,4000,800.0,1.4,0.1,0.71,13,2,17,111.265635014
49,0.005,4000,800.0,1.4,0.1,0.71,13,4,17,0.253731966019
50,0.005,4000,800.0,1.4,0.1,0.71,13,6,17,0.245651006699
51,0.005,4000,800.0,1.4,0.1,0.71,13,8,17,0.255403995514
52,0.005,4000,800.0,1.4,0.1,0.71,14,2,17,76.7286438942
53,0.005,4000,800.0,1.4,0.1,0.71,14,4,17,85.2401690483
54,0.005,4000,800.0,1.4,0.1,0.71,14,6,17,0.276702165604
55,0.005,4000,800.0,1.4,0.1,0.71,14,8,17,0.280184984207
56,0.005,4000,800.0,1.4,0.1,0.71,14,2,17,68.8295619488
57,0.005,4000,800.0,1.4,0.1,0.71,14,4,17,75.54798913
58,0.005,4000,800.0,1.4,0.1,0.71,14,6,17,0.29213309288
59,0.005,4000,800.0,1.4,0.1,0.71,14,8,17,0.276717185974
